Year,Organ,Number_Of_Transplants
2021,All Organs,21060
2021,Kidney,12503
2021,Liver,4704
2021,Pancreas,78
2021,Kidney / Pancreas,442
2021,Heart,1931
2021,Lung,1339
2021,Heart / Lung,18
2021,Intestine,43
2020,All Organs,39036
2020,Kidney,22817
2020,Liver,8906
2020,Pancreas,135
2020,Kidney / Pancreas,827
2020,Heart,3658
2020,Lung,2539
2020,Heart / Lung,58
2020,Intestine,91
2019,All Organs,39719
2019,Kidney,23401
2019,Liver,8896
2019,Pancreas,143
2019,Kidney / Pancreas,872
2019,Heart,3552
2019,Lung,2714
2019,Heart / Lung,45
2019,Intestine,81
2018,All Organs,36530
2018,Kidney,21167
2018,Liver,8250
2018,Pancreas,192
2018,Kidney / Pancreas,835
2018,Heart,3408
2018,Lung,2530
2018,Heart / Lung,32
2018,Intestine,104
2017,All Organs,34770
2017,Kidney,19849
2017,Liver,8082
2017,Pancreas,213
2017,Kidney / Pancreas,789
2017,Heart,3244
2017,Lung,2449
2017,Heart / Lung,29
2017,Intestine,109
2016,All Organs,33610
2016,Kidney,19060
2016,Liver,7841
2016,Pancreas,215
2016,Kidney / Pancreas,798
2016,Heart,3191
2016,Lung,2327
2016,Heart / Lung,18
2016,Intestine,147
2015,All Organs,30974
2015,Kidney,17878
2015,Liver,7127
2015,Pancreas,228
2015,Kidney / Pancreas,719
2015,Heart,2804
2015,Lung,2057
2015,Heart / Lung,15
2015,Intestine,141
2014,All Organs,29540
2014,Kidney,17108
2014,Liver,6730
2014,Pancreas,245
2014,Kidney / Pancreas,709
2014,Heart,2655
2014,Lung,1925
2014,Heart / Lung,24
2014,Intestine,139
2013,All Organs,28956
2013,Kidney,16896
2013,Liver,6455
2013,Pancreas,256
2013,Kidney / Pancreas,762
2013,Heart,2531
2013,Lung,1923
2013,Heart / Lung,23
2013,Intestine,109
2012,All Organs,28059
2012,Kidney,16487
2012,Liver,6256
2012,Pancreas,242
2012,Kidney / Pancreas,801
2012,Heart,2378
2012,Lung,1754
2012,Heart / Lung,29
2012,Intestine,106
2011,All Organs,28553
2011,Kidney,16816
2011,Liver,6342
2011,Pancreas,287
2011,Kidney / Pancreas,795
2011,Heart,2322
2011,Lung,1822
2011,Heart / Lung,27
2011,Intestine,129
2010,All Organs,28668
2010,Kidney,16900
2010,Liver,6291
2010,Pancreas,349
2010,Kidney / Pancreas,828
2010,Heart,2332
2010,Lung,1769
2010,Heart / Lung,42
2010,Intestine,151
2009,All Organs,28463
2009,Kidney,16829
2009,Liver,6320
2009,Pancreas,375
2009,Kidney / Pancreas,854
2009,Heart,2212
2009,Lung,1661
2009,Heart / Lung,29
2009,Intestine,179
2008,All Organs,27967
2008,Kidney,16521
2008,Liver,6319
2008,Pancreas,434
2008,Kidney / Pancreas,837
2008,Heart,2163
2008,Lung,1478
2008,Heart / Lung,27
2008,Intestine,185
2007,All Organs,28366
2007,Kidney,16634
2007,Liver,6494
2007,Pancreas,468
2007,Kidney / Pancreas,864
2007,Heart,2209
2007,Lung,1468
2007,Heart / Lung,31
2007,Intestine,198
2006,All Organs,28941
2006,Kidney,17095
2006,Liver,6651
2006,Pancreas,466
2006,Kidney / Pancreas,924
2006,Heart,2193
2006,Lung,1405
2006,Heart / Lung,31
2006,Intestine,175
2005,All Organs,28119
2005,Kidney,16485
2005,Liver,6444
2005,Pancreas,542
2005,Kidney / Pancreas,903
