Year,Payment,Waitlist_Additions,Waitlist_Removals,Transplants
2020,All Payment,59820,65039,43554
2019,All Payment,66460,66958,44282
2018,All Payment,63283,64388,40594
2017,All Payment,59363,62850,38613
2016,All Payment,58521,61582,37197
2015,All Payment,57234,59117,34144
2014,All Payment,58469,55580,32214
2013,All Payment,58319,53303,31335
2012,All Payment,56002,51730,30310
2011,All Payment,54805,51633,30786
2010,All Payment,56120,50329,30583
2009,All Payment,54551,49129,30137
2008,All Payment,53095,48851,29423
2007,All Payment,52448,47721,29451
2006,All Payment,51198,46482,29611
2005,All Payment,48519,44750,28497
2004,All Payment,46310,41363,27060
2003,All Payment,42187,38769,24822
2002,All Payment,40756,39195,24239
2001,All Payment,41181,36598,23370
2000,All Payment,41412,35412,22383
1999,All Payment,40409,33325,21006
1998,All Payment,37020,30352,20267
1997,All Payment,34377,28331,19262
1996,All Payment,37119,27186,18662
1995,All Payment,31947,26316,18278
2020,Donation,9,7,3
2020,Free Care,28,28,20
2020,Medicaid,7806,7898,4140
2020,Medicare,23343,26062,18210
2020,Other Gov't Insurance,790,795,389
2020,Private insurance,26776,29035,14662
2020,Self,67,86,45
2020,Unknown,54,43,871
2020,VA Public Insurance,947,1085,496
2019,Donation,3,7,3
2019,Free Care,18,20,15
2019,Medicaid,8028,7843,4085
2019,Medicare,26772,26710,18611
2019,Other Gov't Insurance,955,894,476
2019,Private insurance,29432,30289,14799
2019,Self,113,117,99
2019,Unknown,41,41,890
2019,VA Public Insurance,1098,1037,514
2018,Donation,6,5,2
2018,Free Care,21,26,13
2018,Medicaid,7996,7602,3951
2018,Medicare,25324,25767,17231
2018,Other Gov't Insurance,929,767,442
2018,Private insurance,27850,29077,13346
2018,Self,92,121,67
2018,Unknown,37,40,847
2018,VA Public Insurance,1028,983,454
2017,Donation,5,7,5
2017,Free Care,18,27,14
2017,Medicaid,7385,7348,3691
2017,Medicare,23241,25210,16213
2017,Other Gov't Insurance,673,632,318
2017,Private insurance,26912,28539,13022
2017,Self,91,106,52
2017,Unknown,38,43,796
2017,VA Public Insurance,1000,938,473
2016,Donation,4,6,4
2016,Free Care,25,33,17
2016,Medicaid,7223,6892,3441
2016,Medicare,22394,25153,15800
2016,Other Gov't Insurance,623,632,346
2016,Private insurance,27071,27798,12482
2016,Self,91,115,70
2016,Unknown,24,33,809
2016,VA Public Insurance,1066,920,428
2015,Donation,7,10,3
2015,Free Care,20,40,17
2015,Medicaid,6900,6370,3184
2015,Medicare,21621,24629,14289
2015,Other Gov't Insurance,649,595,303
2015,Private insurance,27037,26495,11813
2015,Self,116,167,72
2015,Unknown,26,31,722
2015,VA Public Insurance,858,780,360
2014,Donation,5,5,3
2014,Free Care,27,46,11
2014,Medicaid,6672,5823,2657
2014,Medicare,22816,22054,13447
2014,Other Gov't Insurance,547,549,235
2014,Private insurance,27312,26113,11820
2014,Self,135,148,67
2014,Unknown,40,64,713
2014,VA Public Insurance,915,778,375
2013,Donation,6,6,4
2013,Free Care,59,58,37
2013,Medicaid,6175,5661,2477
2013,Medicare,23647,20593,13109
2013,Other Gov't Insurance,571,618,270
2013,Private insurance,26790,25371,11720
2013,Self,144,166,75
2013,Unknown,51,84,763
2013,VA Public Insurance,876,746,361
2012,Donation,6,3,3
2012,Free Care,51,62,34
2012,Medicaid,5621,5427,2288
2012,Medicare,22757,19920,12431
2012,Other Gov't Insurance,580,511,252
2012,Private insurance,26111,24902,11670
2012,Self,141,186,75
2012,Unknown,53,82,807
2012,VA Public Insurance,682,637,357
2011,Donation,9,8,4
2011,Free Care,50,52,37
2011,Medicaid,5674,5573,2453
2011,Medicare,21368,19664,12505
